name	forma	varietas	subspecies	species	species subgroup	species group	subgenus	genus	subtribe	tribe	subfamily	family	superfamily	parvorder	infraorder	suborder	order	superorder	infraclass	subclass	class	superclass	subphylum	phylum	superphylum	subkingdom	kingdom	superkingdom
Avahi_laniger	NA	NA	NA	122246	NA	NA	NA	122245	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Propithecus_perrieri	NA	NA	NA	989338	NA	NA	NA	30600	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Avahi_occidentalis	NA	NA	NA	132108	NA	NA	NA	122245	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Avahi_unicolor	NA	NA	NA	402239	NA	NA	NA	122245	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Propithecus_edwardsi	NA	NA	NA	543559	NA	NA	NA	30600	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Avahi_cleesei	NA	NA	NA	402244	NA	NA	NA	122245	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Propithecus_verreauxi	NA	NA	NA	34825	NA	NA	NA	30600	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Propithecus_tattersalli	NA	NA	NA	30601	NA	NA	NA	30600	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Propithecus_diadema	NA	NA	NA	83281	NA	NA	NA	30600	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Propithecus_coquereli	NA	NA	NA	379532	NA	NA	NA	30600	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Propithecus_deckenii	NA	NA	NA	475618	NA	NA	NA	30600	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
Propithecus_candidus	NA	NA	NA	543560	NA	NA	NA	30600	NA	NA	NA	30599	NA	NA	376915	376911	9443	314146	NA	NA	40674	7776	89593	7711	NA	NA	33208	2759
